FID,3_code,PageNumber
0,65440501.000000000000000,1
1,65440502.000000000000000,2
2,65440503.000000000000000,2
3,65440504.000000000000000,2
4,65440505.000000000000000,2
5,65440513.000000000000000,2
6,65440514.000000000000000,2
7,65440515.000000000000000,2
8,65440523.000000000000000,2
9,65440524.000000000000000,2
10,65440506.000000000000000,3
11,65440507.000000000000000,3
12,65440516.000000000000000,3
13,64447561.000000000000000,4
14,64447571.000000000000000,4
15,64447581.000000000000000,4
16,64447591.000000000000000,4
17,64447562.000000000000000,5
18,64447563.000000000000000,5
19,64447564.000000000000000,5
20,64447565.000000000000000,5
21,64447572.000000000000000,5
22,64447573.000000000000000,5
23,64447574.000000000000000,5
24,64447575.000000000000000,5
25,64447582.000000000000000,5
26,64447583.000000000000000,5
27,64447584.000000000000000,5
28,64447585.000000000000000,5
29,64447592.000000000000000,5
30,64447593.000000000000000,5
31,64447594.000000000000000,5
32,64447595.000000000000000,5
33,64447566.000000000000000,6
34,64447567.000000000000000,6
35,64447568.000000000000000,6
36,64447569.000000000000000,6
37,64447576.000000000000000,6
38,64447577.000000000000000,6
39,64447578.000000000000000,6
40,64447579.000000000000000,6
41,64447586.000000000000000,6
42,64447587.000000000000000,6
43,64447588.000000000000000,6
44,64447589.000000000000000,6
45,64447596.000000000000000,6
46,64447597.000000000000000,6
47,64447660.000000000000000,7
48,64447661.000000000000000,7
49,64447662.000000000000000,7
50,64447663.000000000000000,7
51,64447670.000000000000000,7
52,64447671.000000000000000,7
53,64447664.000000000000000,8
54,64447665.000000000000000,8
55,64447429.000000000000000,9
56,64447439.000000000000000,9
57,64447520.000000000000000,9
58,64447521.000000000000000,9
59,64447530.000000000000000,9
60,64447531.000000000000000,9
61,64447540.000000000000000,9
62,64447541.000000000000000,9
63,64447550.000000000000000,9
64,64447551.000000000000000,9
65,64447522.000000000000000,10
66,64447523.000000000000000,10
67,64447524.000000000000000,10
68,64447525.000000000000000,10
69,64447532.000000000000000,10
70,64447533.000000000000000,10
71,64447534.000000000000000,10
72,64447535.000000000000000,10
73,64447542.000000000000000,10
74,64447543.000000000000000,10
75,64447544.000000000000000,10
76,64447545.000000000000000,10
77,64447552.000000000000000,10
78,64447553.000000000000000,10
79,64447554.000000000000000,10
80,64447555.000000000000000,10
81,64447526.000000000000000,11
82,64447527.000000000000000,11
83,64447528.000000000000000,11
84,64447529.000000000000000,11
85,64447536.000000000000000,11
86,64447537.000000000000000,11
87,64447538.000000000000000,11
88,64447539.000000000000000,11
89,64447546.000000000000000,11
90,64447547.000000000000000,11
91,64447548.000000000000000,11
92,64447549.000000000000000,11
93,64447556.000000000000000,11
94,64447557.000000000000000,11
95,64447558.000000000000000,11
96,64447559.000000000000000,11
97,64447620.000000000000000,12
98,64447621.000000000000000,12
99,64447622.000000000000000,12
100,64447623.000000000000000,12
101,64447630.000000000000000,12
102,64447631.000000000000000,12
103,64447632.000000000000000,12
104,64447633.000000000000000,12
