FID,PageName,PageNumber,lon,lat
0,A1,1,144.628536438999990,43.346087424200000
1,A2,2,144.678536439000000,43.346087424200000
2,A3,3,144.728536439000010,43.346087424200000
3,B1,4,144.628536438999990,43.312754090900000
4,B2,5,144.678536439000000,43.312754090900000
5,B3,6,144.728536439000010,43.312754090900000
6,B4,7,144.778536438999990,43.312754090900000
7,B5,8,144.828536439000000,43.312754090900000
8,C1,9,144.628536438999990,43.279420757600001
9,C2,10,144.678536439000000,43.279420757600001
10,C3,11,144.728536439000010,43.279420757600001
11,C4,12,144.778536438999990,43.279420757600001
12,C5,13,144.828536439000000,43.279420757600001
13,C6,14,144.878536438999990,43.279420757600001
14,D1,15,144.628536438999990,43.246087424199999
15,D2,16,144.678536439000000,43.246087424199999
16,D3,17,144.728536439000010,43.246087424199999
17,D4,18,144.778536438999990,43.246087424199999
18,D5,19,144.828536439000000,43.246087424199999
19,D6,20,144.878536438999990,43.246087424199999
20,D7,21,144.928536439000000,43.246087424199999
21,E1,22,144.628536438999990,43.212754090899999
22,E2,23,144.678536439000000,43.212754090899999
23,E3,24,144.728536439000010,43.212754090899999
24,E4,25,144.778536438999990,43.212754090899999
25,E5,26,144.828536439000000,43.212754090899999
26,E6,27,144.878536438999990,43.212754090899999
27,E7,28,144.928536439000000,43.212754090899999
28,F1,29,144.628536438999990,43.179420757599999
29,F2,30,144.678536439000000,43.179420757599999
30,F3,31,144.728536439000010,43.179420757599999
31,F4,32,144.778536438999990,43.179420757599999
32,F5,33,144.828536439000000,43.179420757599999
33,F6,34,144.878536438999990,43.179420757599999
34,F7,35,144.928536439000000,43.179420757599999
35,G1,36,144.628536438999990,43.146087424199997
36,G2,37,144.678536439000000,43.146087424199997
37,G3,38,144.728536439000010,43.146087424199997
38,G4,39,144.778536438999990,43.146087424199997
39,G5,40,144.828536439000000,43.146087424199997
40,G6,41,144.878536438999990,43.146087424199997
41,G7,42,144.928536439000000,43.146087424199997
42,G8,43,144.978536439000010,43.146087424199997
43,H1,44,144.628536438999990,43.112754090899998
44,H2,45,144.678536439000000,43.112754090899998
45,H3,46,144.728536439000010,43.112754090899998
46,H4,47,144.778536438999990,43.112754090899998
47,H5,48,144.828536439000000,43.112754090899998
48,H6,49,144.878536438999990,43.112754090899998
49,H7,50,144.928536439000000,43.112754090899998
50,H8,51,144.978536439000010,43.112754090899998
51,H9,52,145.028536438999990,43.112754090899998
52,I1,53,144.628536438999990,43.079420757599998
53,I2,54,144.678536439000000,43.079420757599998
54,I3,55,144.728536439000010,43.079420757599998
55,I4,56,144.778536438999990,43.079420757599998
56,I5,57,144.828536439000000,43.079420757599998
57,I6,58,144.878536438999990,43.079420757599998
58,I7,59,144.928536439000000,43.079420757599998
59,I8,60,144.978536439000010,43.079420757599998
60,J1,61,144.628536438999990,43.046087424200003
61,J2,62,144.678536439000000,43.046087424200003
62,J3,63,144.728536439000010,43.046087424200003
63,J4,64,144.778536438999990,43.046087424200003
64,J5,65,144.828536439000000,43.046087424200003
65,J6,66,144.878536438999990,43.046087424200003
66,J7,67,144.928536439000000,43.046087424200003
67,J8,68,144.978536439000010,43.046087424200003
68,K3,69,144.728536439000010,43.012754090900003
69,K6,70,144.878536438999990,43.012754090900003
70,K7,71,144.928536439000000,43.012754090900003
