FID,G04a_001,G04a_002,G04a_010
0,65440501,107.4,2.1
1,65440502,116.8,1.0
2,65440503,106.2,1.7
3,65440504,107.8,1.6
4,65440505,110.4,0.9
5,65440506,109.1,0.6
6,65440507,101.1,1.0
7,65440513,111.1,1.6
8,65440514,114.5,1.5
9,65440515,108.8,0.8
10,65440516,103.8,1.1
11,65440523,112.5,2.2
12,65440524,112.0,1.1
13,64455040,42.7,0.7
14,64455050,46.4,0.4
15,64443790,81.2,3.8
16,64443791,60.5,3.6
17,64443792,76.8,4.4
18,64443793,96.4,3.4
19,64444507,9.6,0.4
20,64444508,16.3,1.7
21,64444516,12.7,0.4
22,64444517,9.8,0.2
23,64444518,16.9,2.4
24,64444519,27.2,0.0
25,64444526,25.8,1.8
26,64444527,15.3,1.2
27,64444528,8.0,0.6
28,64444529,19.7,1.5
29,64444536,45.2,2.1
30,64444537,24.3,2.3
31,64444538,5.7,0.2
32,64444539,26.4,2.8
33,64444546,43.6,2.1
34,64444547,32.9,2.2
35,64444548,7.0,0.5
36,64444549,19.0,3.0
37,64444552,82.6,1.9
38,64444553,49.1,2.9
39,64444554,57.8,2.8
40,64444555,64.2,2.5
41,64444556,58.3,2.3
42,64444557,51.6,2.9
43,64444558,19.5,1.6
44,64444559,5.6,0.7
45,64444561,81.1,2.0
46,64444562,85.4,1.4
47,64444563,64.7,2.4
48,64444564,56.3,2.5
49,64444565,44.8,2.9
50,64444566,54.6,2.9
51,64444567,63.9,2.3
52,64444568,34.7,2.8
53,64444569,6.3,0.7
54,64444570,81.8,1.2
55,64444571,84.5,0.8
56,64444572,69.1,1.8
57,64444573,50.4,2.3
58,64444574,38.6,2.3
59,64444575,34.5,3.0
60,64444576,31.6,2.8
61,64444577,43.7,3.0
62,64444578,44.7,3.2
63,64444579,21.7,3.9
64,64444581,75.2,1.0
65,64444582,62.4,2.1
66,64444583,49.7,1.9
67,64444584,64.0,1.5
68,64444585,50.9,2.0
69,64444586,35.6,2.9
70,64444587,21.7,2.9
71,64444588,19.7,3.3
72,64444589,53.2,4.2
73,64444591,82.0,1.3
74,64444592,70.1,2.6
75,64444593,78.3,1.4
76,64444594,69.9,1.4
77,64444595,60.5,1.6
78,64444596,64.3,1.6
79,64444597,59.9,2.1
80,64444598,58.4,2.3
81,64444599,65.5,3.5
82,64444609,25.2,5.4
83,64444618,46.8,4.7
84,64444619,57.6,3.3
85,64444628,32.9,3.5
86,64444629,38.7,3.4
87,64444638,19.3,2.6
88,64444639,20.4,2.9
89,64444640,44.1,2.9
90,64444648,28.1,4.6
91,64444649,0.0,0.0
92,64444650,31.9,3.0
93,64444651,33.3,2.2
94,64444658,1.7,1.4
95,64444659,0.0,0.0
96,64444660,7.8,1.4
97,64444661,18.4,1.6
98,64444662,10.6,1.4
99,64444666,15.1,4.5
100,64444667,7.2,1.9
101,64444668,0.3,0.2
102,64444669,0.0,0.0
103,64444670,24.9,4.1
104,64444671,31.1,5.2
105,64444672,33.6,5.1
106,64444673,35.3,3.6
107,64444674,19.4,1.6
108,64444675,7.3,0.7
109,64444676,26.8,2.6
110,64444677,27.4,3.2
111,64444678,1.5,1.7
112,64444679,0.0,0.0
113,64444680,64.3,4.3
114,64444681,33.0,5.0
115,64444682,37.6,6.5
116,64444683,41.3,4.9
117,64444684,18.3,3.2
118,64444685,3.2,0.2
119,64444686,6.3,1.2
120,64444687,23.3,2.7
121,64444688,0.8,1.5
122,64444689,5.4,1.3
123,64444690,55.6,4.4
124,64444691,70.6,2.8
125,64444692,81.0,2.5
126,64444693,55.0,4.2
127,64444694,32.6,4.4
128,64444695,5.3,1.1
129,64444696,13.8,2.5
130,64444697,20.8,3.4
131,64444698,4.9,1.2
132,64444699,22.5,2.4
133,64444700,87.7,4.6
134,64444701,57.2,4.9
135,64444702,62.2,3.4
136,64444703,53.7,3.4
137,64444710,58.5,3.6
138,64444711,18.9,2.0
139,64444712,17.4,2.4
140,64444713,27.1,2.6
141,64444715,32.9,2.7
142,64444716,20.1,1.9
143,64444720,26.5,4.3
144,64444721,4.6,1.2
145,64444722,1.1,0.5
146,64444723,15.8,2.0
147,64444724,11.2,1.3
148,64444725,21.2,2.4
149,64444726,15.6,2.1
150,64444730,1.7,0.5
