FID,PageNumber,SUM_area_h
0,1,213.453966667000000
1,2,201.176778103999990
2,3,217.054209101000000
3,4,128.830860105000000
4,6,45.369421509100000
5,7,180.334577004000010
6,8,266.175181918000020
7,9,71.014625312299998
8,13,22.663438425199999
9,14,144.214878949000000
10,15,55.503172378999999
11,21,121.738558029999990
12,22,63.571147651600000
13,28,28.637949674800002
14,29,334.316524121999980
15,34,0.083273884853400
16,35,32.196189130500002
17,36,325.781997929999990
18,41,7.439939271040000
19,42,90.585240602599995
20,43,100.513577731000000
21,44,130.836933308999990
22,45,1.872345553080000
23,51,60.654192751899998
24,52,314.196453538000010
25,53,66.669098389499993
26,56,0.111085190672000
27,59,54.358599619099998
28,60,264.398326751000010
29,61,196.295866026000000
30,62,308.942822788999990
31,63,18.488219334899998
32,64,134.182107968999990
33,65,4.879655948860000
34,67,91.243550303199996
35,68,465.251420470000030
36,69,19.065519355700001
37,70,72.419608952100006
38,71,239.564736261000010
