FID,PageNumber,SUM_length
0,1,18425.083333499999000
1,2,15009.606080899999000
2,3,20527.433369400002000
3,4,21994.134774800001000
4,5,19641.315788799999000
5,6,19199.841912500000000
6,7,24497.213959299999000
7,8,25287.245625100000000
8,9,15470.963882000000000
9,10,21905.689625600000000
10,11,22712.070862199998000
11,12,25738.364255299999000
12,13,26727.129066400001000
13,14,16806.629249900001000
14,15,19445.130097699999000
15,16,19456.127439200001000
16,17,21347.824174099998000
17,18,27678.545826599999000
18,19,22502.738619299998000
19,20,21903.433262499999000
20,21,15777.326393400001000
21,22,20717.402824900000000
22,23,30794.720506000001000
23,24,22720.916019699998000
24,25,23684.405137300000000
25,26,21971.419547800000000
26,27,26341.739828400001000
27,28,18740.615913900001000
28,29,21061.928591200001000
29,30,18828.715634699998000
30,31,24330.636102799999000
31,32,16264.364670600000000
32,33,17761.477572299998000
33,34,18338.585133100001000
34,35,20166.871205799998000
35,36,22204.587235200001000
36,37,27749.097855500000000
37,38,23629.786499999998000
38,39,21335.357161700002000
39,40,26127.486069200000000
40,41,20600.533931499998000
41,42,20862.052622499999000
42,43,11719.667165200000000
43,44,19984.696917000001000
44,45,21472.705871300001000
45,46,19171.794062500001000
46,47,25420.392612600001000
47,48,19621.224677200000000
48,49,11717.109805700000000
49,50,15129.819536700001000
50,51,15849.188839799999000
51,52,16539.235142099998000
52,53,20642.533249500000000
53,54,19180.242558599999000
54,55,21322.659952800001000
55,56,17085.275065800000000
56,57,18198.051345500000000
57,58,17961.808458500000000
58,59,17789.982765799999000
59,60,17296.729835499998000
60,61,14162.323868900001000
61,62,23959.401706000001000
62,63,13982.437897899999000
63,64,7389.480781760000400
64,65,1500.900092050000000
65,66,13502.170568400001000
66,67,13071.723074699999000
67,68,16940.081662500001000
68,69,12411.359983300001000
69,70,18517.736707600001000
70,71,17482.372487100001000
