idxtype,isBaU,Land,p_a,p_s,p_plant,f_cut,f_rotation,f_plant,climate,Time,val.integ,scenario,nplabel,np
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,2,0.5957118889663258,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,3,0.5631594679246285,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,4,0.5286341341252884,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,5,0.4806471093595794,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,6,0.4719604126658617,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,7,0.5176591526524564,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,8,0.4962074938465749,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,9,0.5341065689131957,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,10,0.522945899633334,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,11,0.5328913269777485,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,12,0.5436255320345328,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,13,0.578799003708752,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,14,0.5788763296899493,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,15,0.5650521738758785,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,16,0.5941331224655404,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,17,0.5777674317113473,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,18,0.5760995440320317,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,19,0.5640265442634163,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,20,0.5638754139805336,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,21,0.5670083891818809,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,22,0.5748659855651255,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,23,0.560235035378067,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,24,0.5790852955423755,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,25,0.5995315932666339,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,26,0.5814588432778309,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,27,0.5630026160733002,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,28,0.559168393589799,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,29,0.5772013055695618,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,30,0.5992191883762263,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,31,0.5665662101031508,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,32,0.583169276672694,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,33,0.5749356922635112,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,34,0.5855335123859143,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,35,0.5643023759016209,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,36,0.5801729052308315,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,37,0.5922120716370083,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,38,0.5836610198117519,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,39,0.5714850181789171,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,40,0.5743909858881139,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,41,0.5556466755395043,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,42,0.5546128558145406,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,43,0.5511924212531829,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,44,0.5564145020881343,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,45,0.5636736191969277,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
common,FALSE,abandon,Half of depop,No solar,Hardwood,Selective,Long,Hardwood,MRI_rcp26,46,0.5544680892854472,abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s"
