scenario,decades,nn,ns,nc,ispareto,isparetosize
abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,2030,0.39420779931489686,0.18305823944193395,0.7679563147756449,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,2050,0.3767758247561888,0.1834400591636669,0.7581896052053081,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,2090,0.5480584449649387,0.18983104782765306,0.8774552844696576,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Long_Natural,2030,0.3832229846871395,0.1827509476725246,0.767488981142078,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Long_Natural,2050,0.3628668335013425,0.18346409293132684,0.758284050043995,Pareto solution,20
abandon_Half of depop_No solar_Hardwood_Selective_Long_Natural,2090,0.5141744558619185,0.19025932862190065,0.8796652633237916,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Hardwood,2030,0.3922702920060401,0.18290008569423677,0.7651982416636508,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Hardwood,2050,0.37205945001032553,0.18350893579212985,0.7570744774616455,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Hardwood,2090,0.5144837122015129,0.19005110911284467,0.8770676146053157,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Natural,2030,0.3897832626624022,0.18314874886297633,0.7650183308241262,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Natural,2050,0.372169445917269,0.1833011398258234,0.7579660316859524,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Natural,2090,0.5186302088614952,0.19003876821778715,0.8810825616033356,The others,5
abandon_Half of depop_No solar_Natural_Selective_Long_Hardwood,2030,0.39588642265575513,0.18311868153079297,0.7679826317716888,Pareto solution,20
abandon_Half of depop_No solar_Natural_Selective_Long_Hardwood,2050,0.37815355744963963,0.1833301784790829,0.7581168217087835,The others,5
abandon_Half of depop_No solar_Natural_Selective_Long_Hardwood,2090,0.5460417459831403,0.1898570240394563,0.876465072150097,The others,5
abandon_Half of depop_No solar_Natural_Selective_Long_Natural,2030,0.385834407551595,0.18312960190521557,0.767557985178674,Pareto solution,20
abandon_Half of depop_No solar_Natural_Selective_Long_Natural,2050,0.3631601557063229,0.18355065715748753,0.758202358396434,Pareto solution,20
abandon_Half of depop_No solar_Natural_Selective_Long_Natural,2090,0.5131152961952201,0.18994986854980642,0.8792959908447515,The others,5
abandon_Half of depop_No solar_Natural_Selective_Normal_Hardwood,2030,0.39379577820378514,0.18293156643143565,0.7652776613886705,The others,5
abandon_Half of depop_No solar_Natural_Selective_Normal_Hardwood,2050,0.37300193592589653,0.18340696415032215,0.756902530848874,The others,5
abandon_Half of depop_No solar_Natural_Selective_Normal_Hardwood,2090,0.5146794131779161,0.1897172467152389,0.8761529764331429,The others,5
abandon_Half of depop_No solar_Natural_Selective_Normal_Natural,2030,0.3907358381700018,0.18316589694866986,0.7648863797775983,The others,5
abandon_Half of depop_No solar_Natural_Selective_Normal_Natural,2050,0.3717612681069173,0.1833136054540821,0.7574502345822514,The others,5
abandon_Half of depop_No solar_Natural_Selective_Normal_Natural,2090,0.519976569488179,0.1898027062801835,0.8809760419519085,The others,5
