climate,cases,Time,n,scenarios
RCP2.6,nnnc,2030,1,abandon_No abandonment_No solar_Natural___
RCP2.6,nnnc,2050,1,abandon_No abandonment_No solar_Natural___
RCP2.6,nnnc,2090,3,continue_Same as depop_No solar_Hardwood_Selective_Normal_Conifer;continue_Same as depop_No solar_Hardwood_Selective_Long_Conifer;abandon_No abandonment_No solar_Natural___
RCP2.6,nnns,2030,20,abandon_No abandonment_No solar_Natural___;abandon_Same as depop_No solar_Natural_Selective_Long_Hardwood;continue_Same as depop_No solar_Natural_Selective_Long_Conifer;continue_Same as depop_No solar_Hardwood_Selective_Long_Conifer;continue_Same as depop_No solar_Natural_Selective_Long_Hardwood;continue_Same as depop_No solar_Hardwood_Selective_Long_Hardwood;continue_Same as depop_No solar_Natural_Selective_Normal_Hardwood;continue_Same as depop_No solar_Natural_Selective_Normal_Conifer;continue_Same as depop_No solar_Hardwood_Selective_Normal_Hardwood;continue_Same as depop_No solar_Hardwood_Selective_Normal_Conifer;continue_Half of depop_No solar_Natural_Selective_Normal_Hardwood;continue_Half of depop_No solar_Hardwood_Selective_Normal_Hardwood;continue_Half of depop_No solar_Hardwood_Selective_Normal_Conifer;continue_No abandonment_No solar_Natural_Selective_Normal_Hardwood;continue_Half of depop_Solar 50%_Natural_Selective_Long_Hardwood;continue_Half of depop_Solar 50%_Hardwood_Selective_Long_Hardwood;continue_Half of depop_Solar 50%_Hardwood_Selective_Normal_Hardwood;continue_Same as depop_Solar 50%_Natural_Selective_Normal_Hardwood;continue_Same as depop_Solar 50%_Hardwood_Selective_Normal_Hardwood;continue_Same as depop_Solar 50%_Hardwood_Selective_Normal_Conifer
RCP2.6,nnns,2050,7,abandon_No abandonment_No solar_Natural___;continue_Same as depop_No solar_Natural_Selective_Normal_Conifer;continue_Half of depop_No solar_Natural_Selective_Normal_Conifer;continue_No abandonment_No solar_Natural_Selective_Normal_Hardwood;continue_No abandonment_No solar_Natural_Selective_Normal_Conifer;continue_Same as depop_Solar 50%_Hardwood_Selective_Normal_Conifer;continue_Same as depop_Solar 50%_Natural_Selective_Normal_Conifer
RCP2.6,nnns,2090,7,continue_Same as depop_No solar_Hardwood_Selective_Normal_Conifer;continue_Same as depop_No solar_Natural_Selective_Normal_Conifer;continue_Half of depop_No solar_Hardwood_Selective_Normal_Conifer;continue_Half of depop_No solar_Natural_Selective_Normal_Conifer;continue_Same as depop_Solar 50%_Hardwood_Selective_Normal_Conifer;continue_Same as depop_Solar 50%_Natural_Selective_Normal_Conifer;continue_Half of depop_Solar 50%_Natural_Selective_Normal_Conifer
RCP2.6,nsnc,2030,20,continue_Same as depop_Solar 50%_Hardwood_Selective_Normal_Conifer;continue_Same as depop_Solar 50%_Natural_Selective_Normal_Conifer;continue_Half of depop_Solar 50%_Hardwood_Selective_Normal_Conifer;continue_Half of depop_Solar 50%_Natural_Selective_Normal_Conifer;continue_Half of depop_Solar 50%_Hardwood_Selective_Long_Hardwood;continue_No abandonment_No solar_Natural_Selective_Normal_Conifer;continue_Half of depop_No solar_Hardwood_Selective_Normal_Conifer;continue_Same as depop_No solar_Hardwood_Selective_Normal_Conifer;continue_Same as depop_No solar_Natural_Selective_Normal_Conifer;continue_No abandonment_No solar_Natural_Selective_Long_Hardwood;continue_Half of depop_No solar_Hardwood_Selective_Long_Hardwood;continue_Half of depop_No solar_Natural_Selective_Long_Hardwood;continue_No abandonment_No solar_Natural_Selective_Long_Conifer;continue_Half of depop_No solar_Hardwood_Selective_Long_Conifer;continue_Half of depop_No solar_Natural_Selective_Long_Conifer;abandon_No abandonment_No solar_Natural_Selective_Long_Natural;abandon_No abandonment_No solar_Natural_Selective_Long_Hardwood;abandon_Half of depop_No solar_Natural_Selective_Long_Hardwood;abandon_Same as depop_No solar_Natural_Selective_Long_Hardwood;abandon_No abandonment_No solar_Natural___
RCP2.6,nsnc,2050,23,continue_Same as depop_Solar 50%_Natural_Selective_Normal_Conifer;continue_Same as depop_Solar 50%_Hardwood_Selective_Normal_Conifer;continue_Half of depop_Solar 50%_Natural_Selective_Normal_Conifer;continue_Half of depop_Solar 50%_Natural_Selective_Long_Hardwood;continue_Half of depop_Solar 50%_Hardwood_Selective_Long_Hardwood;continue_No abandonment_No solar_Natural_Selective_Normal_Conifer;continue_Half of depop_No solar_Natural_Selective_Normal_Conifer;continue_Half of depop_No solar_Hardwood_Selective_Normal_Conifer;continue_No abandonment_No solar_Natural_Selective_Long_Hardwood;continue_No abandonment_No solar_Natural_Selective_Long_Conifer;continue_Half of depop_No solar_Natural_Selective_Long_Hardwood;continue_Half of depop_No solar_Natural_Selective_Long_Conifer;continue_Same as depop_No solar_Natural_Selective_Long_Hardwood;continue_Same as depop_No solar_Hardwood_Selective_Long_Hardwood;continue_Same as depop_No solar_Natural_Selective_Long_Conifer;abandon_Half of depop_No solar_Hardwood_Selective_Normal_Hardwood;abandon_Half of depop_No solar_Hardwood_Selective_Normal_Natural;abandon_Half of depop_No solar_Natural_Selective_Normal_Natural;abandon_Half of depop_No solar_Natural_Selective_Long_Hardwood;abandon_Half of depop_No solar_Natural_Selective_Long_Natural;abandon_Same as depop_No solar_Natural_Selective_Long_Natural;abandon_Same as depop_No solar_Hardwood_Selective_Long_Natural;abandon_No abandonment_No solar_Natural___
RCP2.6,nsnc,2090,9,continue_Half of depop_Solar 50%_Natural_Selective_Normal_Conifer;continue_Half of depop_Solar 50%_Natural_Selective_Long_Hardwood;continue_Half of depop_Solar 50%_Hardwood_Selective_Long_Hardwood;continue_No abandonment_No solar_Natural_Selective_Normal_Conifer;continue_Half of depop_No solar_Natural_Selective_Normal_Conifer;continue_Same as depop_No solar_Natural_Selective_Normal_Conifer;continue_Same as depop_No solar_Hardwood_Selective_Normal_Conifer;continue_Same as depop_No solar_Natural_Selective_Long_Conifer;abandon_No abandonment_No solar_Natural___
RCP8.5,nnnc,2030,1,abandon_No abandonment_No solar_Natural___
